resistance,temperature
2.19404,329.984
2.20294,325.000
2.21393,319.000
2.22423,313.500
2.23475,308.000
2.24551,302.500
2.25651,297.000
2.26776,291.500
2.27926,286.000
2.29104,280.500
2.30310,275.000
2.31544,269.500
2.32693,264.500
2.33867,259.500
2.35067,254.500
2.36295,249.500
2.37552,244.500
2.38838,239.500
2.40155,234.500
2.41503,229.500
2.42885,224.500
2.44301,219.500
2.45753,214.500
2.47243,209.500
2.48772,204.500
2.50341,199.500
2.51791,195.000
2.53276,190.500
2.54799,186.000
2.56361,181.500
2.57964,177.000
2.59610,172.500
2.61302,168.000
2.63040,163.500
2.64829,159.000
2.66670,154.500
2.68567,150.000
2.70303,146.000
2.72086,142.000
2.73921,138.000
2.75810,134.000
2.77757,130.000
2.79764,126.000
2.81837,122.000
2.83978,118.000
2.85914,114.500
2.87908,111.000
2.89966,107.500
2.92092,104.000
2.94292,100.500
2.95915,98.0000
2.97574,95.5000
