resistance,temperature
2.20763,330.136
2.21692,325.000
2.22807,319.000
2.23850,313.500
2.24917,308.000
2.26007,302.500
2.27121,297.000
2.28261,291.500
2.29427,286.000
2.30620,280.500
2.31841,275.000
2.33092,269.500
2.34256,264.500
2.35445,259.500
2.36662,254.500
2.37906,249.500
2.39179,244.500
2.40482,239.500
2.41816,234.500
2.43183,229.500
2.44583,224.500
2.46019,219.500
2.47490,214.500
2.49000,209.500
2.50549,204.500
2.52140,199.500
2.53609,195.000
2.55114,190.500
2.56657,186.000
2.58240,181.500
2.59865,177.000
2.61533,172.500
2.63247,168.000
2.65009,163.500
2.66822,159.000
2.68688,154.500
2.70395,150.500
2.72147,146.500
2.73949,142.500
2.75802,138.500
2.77711,134.500
2.79678,130.500
2.81706,126.500
2.83799,122.500
2.85963,118.500
2.87919,115.000
2.89932,111.500
2.92011,108.000
2.94159,104.500
2.96379,101.000
2.98017,98.5000
2.99692,96.0000
