resistance,temperature
2.21769,329.983
2.22680,325.000
2.23806,319.000
2.24860,313.500
2.25937,308.000
2.27038,302.500
2.28164,297.000
2.29315,291.500
2.30493,286.000
2.31698,280.500
2.32932,275.000
2.34196,269.500
2.35371,264.500
2.36572,259.500
2.37800,254.500
2.39057,249.500
2.40342,244.500
2.41658,239.500
2.43005,234.500
2.44385,229.500
2.45799,224.500
2.47248,219.500
2.48733,214.500
2.50257,209.500
2.51821,204.500
2.53427,199.500
2.54911,195.000
2.56430,190.500
2.57989,186.000
2.59587,181.500
2.61228,177.000
2.62913,172.500
2.64644,168.000
2.66424,163.500
2.68255,159.000
2.70140,154.500
2.71864,150.500
2.73634,146.500
2.75455,142.500
2.77327,138.500
2.79255,134.500
2.81242,130.500
2.83291,126.500
2.85406,122.500
2.87592,118.500
2.89568,115.000
2.91602,111.500
2.93704,108.000
2.95874,104.500
2.98120,101.000
2.99777,98.5000
3.01471,96.0000
