resistance,temperature
2.20307,329.982
2.21208,325.000
2.22319,319.000
2.23361,313.500
2.24425,308.000
2.25514,302.500
2.26626,297.000
2.27765,291.500
2.28929,286.000
2.30121,280.500
2.31341,275.000
2.32590,269.500
2.33752,264.500
2.34939,259.500
2.36154,254.500
2.37396,249.500
2.38667,244.500
2.39968,239.500
2.41300,234.500
2.42664,229.500
2.44062,224.500
2.45495,219.500
2.46964,214.500
2.48471,209.500
2.50018,204.500
2.51607,199.500
2.53074,195.000
2.54577,190.500
2.56119,186.000
2.57700,181.500
2.59323,177.000
2.60990,172.500
2.62702,168.000
2.64463,163.500
2.66274,159.000
2.68138,154.500
2.69843,150.500
2.71593,146.500
2.73393,142.500
2.75245,138.500
2.77151,134.500
2.79116,130.500
2.81142,126.500
2.83234,122.500
2.85396,118.500
2.87350,115.000
2.89363,111.500
2.91441,108.000
2.93587,104.500
2.95807,101.000
2.97444,98.5000
2.99118,96.0000
