resistance,temperature
2.22271,329.984
2.23184,325.000
2.24311,319.000
2.25367,313.500
2.26446,308.000
2.27549,302.500
2.28677,297.000
2.29831,291.500
2.31011,286.000
2.32219,280.500
2.33456,275.000
2.34722,269.500
2.35901,264.500
2.37104,259.500
2.38336,254.500
2.39595,249.500
2.40884,244.500
2.42202,239.500
2.43553,234.500
2.44936,229.500
2.46353,224.500
2.47806,219.500
2.49296,214.500
2.50824,209.500
2.52393,204.500
2.54003,199.500
2.55492,195.000
2.57015,190.500
2.58579,186.000
2.60182,181.500
2.61828,177.000
2.63519,172.500
2.65256,168.000
2.67042,163.500
2.68879,159.000
2.70770,154.500
2.72501,150.500
2.74277,146.500
2.76104,142.500
2.77983,138.500
2.79918,134.500
2.81912,130.500
2.83969,126.500
2.86092,122.500
2.88287,118.500
2.90271,115.000
2.92314,111.500
2.94424,108.000
2.96604,104.500
2.98859,101.000
3.00522,98.5000
3.02223,96.0000
