resistance,temperature
1.90405,330.000
2.06071,293.000
2.98281,77.3600
3.09964,50.0000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
