resistance,temperature
2.19756,330.136
2.20677,325.000
2.21783,319.000
2.22819,313.500
2.23877,308.000
2.24959,302.500
2.26065,297.000
2.27196,291.500
2.28354,286.000
2.29538,280.500
2.30751,275.000
2.31992,269.500
2.33148,264.500
2.34328,259.500
2.35535,254.500
2.36770,249.500
2.38033,244.500
2.39326,239.500
2.40650,234.500
2.42006,229.500
2.43395,224.500
2.44818,219.500
2.46278,214.500
2.47776,209.500
2.49312,204.500
2.50890,199.500
2.52347,195.000
2.53840,190.500
2.55371,186.000
2.56941,181.500
2.58552,177.000
2.60207,172.500
2.61907,168.000
2.63655,163.500
2.65453,159.000
2.67304,154.500
2.69211,150.000
2.70956,146.000
2.72748,142.000
2.74593,138.000
2.76492,134.000
2.78449,130.000
2.80467,126.000
2.82551,122.000
2.84703,118.000
2.86650,114.500
2.88654,111.000
2.90723,107.500
2.92861,104.000
2.95074,100.500
2.96706,98.0000
2.98375,95.5000
