resistance,temperature
2.21143,330.139
2.22078,325.000
2.23199,319.000
2.24249,313.500
2.25321,308.000
2.26417,302.500
2.27538,297.000
2.28684,291.500
2.29856,286.000
2.31056,280.500
2.32284,275.000
2.33541,269.500
2.34711,264.500
2.35907,259.500
2.37129,254.500
2.38380,249.500
2.39659,244.500
2.40969,239.500
2.42310,234.500
2.43683,229.500
2.45090,224.500
2.46532,219.500
2.48010,214.500
2.49527,209.500
2.51084,204.500
2.52682,199.500
2.54159,195.000
2.55670,190.500
2.57221,186.000
2.58812,181.500
2.60444,177.000
2.62121,172.500
2.63843,168.000
2.65614,163.500
2.67436,159.000
2.69311,154.500
2.71026,150.500
2.72787,146.500
2.74598,142.500
2.76461,138.500
2.78379,134.500
2.80356,130.500
2.82394,126.500
2.84498,122.500
2.86672,118.500
2.88637,115.000
2.90662,111.500
2.92751,108.000
2.94910,104.500
2.97143,101.000
2.98790,98.5000
3.00475,96.0000
