resistance,temperature
2.22392,330.137
2.23338,325.000
2.24469,319.000
2.25529,313.500
2.26612,308.000
2.27720,302.500
2.28852,297.000
2.30009,291.500
2.31194,286.000
2.32406,280.500
2.33647,275.000
2.34917,269.500
2.36100,264.500
2.37308,259.500
2.38543,254.500
2.39807,249.500
2.41100,244.500
2.42423,239.500
2.43779,234.500
2.45166,229.500
2.46589,224.500
2.48046,219.500
2.49541,214.500
2.51074,209.500
2.52648,204.500
2.54263,199.500
2.55756,195.000
2.57284,190.500
2.58852,186.000
2.60460,181.500
2.62111,177.000
2.63806,172.500
2.65548,168.000
2.67339,163.500
2.69181,159.000
2.71078,154.500
2.72813,150.500
2.74595,146.500
2.76427,142.500
2.78313,138.500
2.80254,134.500
2.82254,130.500
2.84318,126.500
2.86448,122.500
2.88650,118.500
2.90641,115.000
2.92691,111.500
2.94807,108.000
2.96994,104.500
2.99256,101.000
3.00925,98.5000
3.02632,96.0000
