resistance,temperature
2.18260,329.984
2.19143,325.000
2.20232,319.000
2.21252,313.500
2.22294,308.000
2.23360,302.500
2.24450,297.000
2.25565,291.500
2.26706,286.000
2.27873,280.500
2.29068,275.000
2.30292,269.500
2.31430,264.500
2.32594,259.500
2.33783,254.500
2.35000,249.500
2.36245,244.500
2.37520,239.500
2.38824,234.500
2.40160,229.500
2.41529,224.500
2.42933,219.500
2.44371,214.500
2.45847,209.500
2.47361,204.500
2.48916,199.500
2.50353,195.000
2.51823,190.500
2.53332,186.000
2.54879,181.500
2.56467,177.000
2.58097,172.500
2.59772,168.000
2.61494,163.500
2.63265,159.000
2.65088,154.500
2.66966,150.000
2.68685,146.000
2.70450,142.000
2.72267,138.000
2.74137,134.000
2.76064,130.000
2.78051,126.000
2.80103,122.000
2.82222,118.000
2.84138,114.500
2.86111,111.000
2.88148,107.500
2.90252,104.000
2.92428,100.500
2.94033,98.0000
2.95674,95.5000
