resistance,temperature
2.19022,330.137
2.19942,325.000
2.21042,319.000
2.22073,313.500
2.23125,308.000
2.24201,302.500
2.25301,297.000
2.26426,291.500
2.27577,286.000
2.28754,280.500
2.29959,275.000
2.31193,269.500
2.32341,264.500
2.33514,259.500
2.34714,254.500
2.35941,249.500
2.37197,244.500
2.38482,239.500
2.39797,234.500
2.41145,229.500
2.42526,224.500
2.43941,219.500
2.45392,214.500
2.46880,209.500
2.48407,204.500
2.49975,199.500
2.51424,195.000
2.52907,190.500
2.54428,186.000
2.55988,181.500
2.57589,177.000
2.59233,172.500
2.60921,168.000
2.62657,163.500
2.64443,159.000
2.66281,154.500
2.68174,150.000
2.69907,146.000
2.71687,142.000
2.73519,138.000
2.75404,134.000
2.77347,130.000
2.79351,126.000
2.81420,122.000
2.83558,118.000
2.85490,114.500
2.87480,111.000
2.89535,107.500
2.91657,104.000
2.93852,100.500
2.95471,98.0000
2.97127,95.5000
