resistance,temperature
2.20640,330.137
2.21572,325.000
2.22688,319.000
2.23733,313.500
2.24801,308.000
2.25893,302.500
2.27009,297.000
2.28150,291.500
2.29317,286.000
2.30511,280.500
2.31734,275.000
2.32985,269.500
2.34150,264.500
2.35340,259.500
2.36557,254.500
2.37801,249.500
2.39075,244.500
2.40378,239.500
2.41713,234.500
2.43079,229.500
2.44480,224.500
2.45915,219.500
2.47386,214.500
2.48896,209.500
2.50444,204.500
2.52035,199.500
2.53504,195.000
2.55008,190.500
2.56551,186.000
2.58134,181.500
2.59758,177.000
2.61426,172.500
2.63139,168.000
2.64901,163.500
2.66713,159.000
2.68578,154.500
2.70285,150.500
2.72036,146.500
2.73837,142.500
2.75690,138.500
2.77598,134.500
2.79563,130.500
2.81590,126.500
2.83682,122.500
2.85844,118.500
2.87798,115.000
2.89811,111.500
2.91889,108.000
2.94035,104.500
2.96255,101.000
2.97893,98.5000
2.99567,96.0000
