resistance,temperature
2.21148,329.987
2.22057,325.000
2.23179,319.000
2.24230,313.500
2.25305,308.000
2.26403,302.500
2.27526,297.000
2.28674,291.500
2.29849,286.000
2.31052,280.500
2.32283,275.000
2.33543,269.500
2.34716,264.500
2.35914,259.500
2.37140,254.500
2.38394,249.500
2.39677,244.500
2.40990,239.500
2.42335,234.500
2.43712,229.500
2.45122,224.500
2.46569,219.500
2.48052,214.500
2.49573,209.500
2.51134,204.500
2.52737,199.500
2.54218,195.000
2.55735,190.500
2.57290,186.000
2.58886,181.500
2.60524,177.000
2.62206,172.500
2.63934,168.000
2.65711,163.500
2.67539,159.000
2.69421,154.500
2.71143,150.500
2.72910,146.500
2.74728,142.500
2.76598,138.500
2.78523,134.500
2.80507,130.500
2.82553,126.500
2.84665,122.500
2.86848,118.500
2.88821,115.000
2.90853,111.500
2.92951,108.000
2.95119,104.500
2.97362,101.000
2.99016,98.5000
3.00708,96.0000
