resistance,temperature
2.22992,329.982
2.23910,325.000
2.25045,319.000
2.26107,313.500
2.27193,308.000
2.28303,302.500
2.29438,297.000
2.30599,291.500
2.31786,286.000
2.33001,280.500
2.34245,275.000
2.35519,269.500
2.36705,264.500
2.37916,259.500
2.39156,254.500
2.40423,249.500
2.41720,244.500
2.43048,239.500
2.44407,234.500
2.45800,229.500
2.47226,224.500
2.48689,219.500
2.50189,214.500
2.51727,209.500
2.53306,204.500
2.54927,199.500
2.56425,195.000
2.57959,190.500
2.59532,186.000
2.61146,181.500
2.62803,177.000
2.64504,172.500
2.66252,168.000
2.68050,163.500
2.69899,159.000
2.71803,154.500
2.73545,150.500
2.75333,146.500
2.77172,142.500
2.79064,138.500
2.81012,134.500
2.83020,130.500
2.85092,126.500
2.87230,122.500
2.89440,118.500
2.91438,115.000
2.93496,111.500
2.95621,108.000
2.97816,104.500
3.00087,101.000
3.01763,98.5000
3.03476,96.0000
