resistance,temperature
2.21174,330.137
2.22106,325.000
2.23223,319.000
2.24269,313.500
2.25338,308.000
2.26430,302.500
2.27548,297.000
2.28690,291.500
2.29860,286.000
2.31056,280.500
2.32281,275.000
2.33535,269.500
2.34702,264.500
2.35895,259.500
2.37114,254.500
2.38362,249.500
2.39638,244.500
2.40945,239.500
2.42283,234.500
2.43654,229.500
2.45058,224.500
2.46497,219.500
2.47973,214.500
2.49487,209.500
2.51041,204.500
2.52637,199.500
2.54111,195.000
2.55621,190.500
2.57169,186.000
2.58758,181.500
2.60388,177.000
2.62063,172.500
2.63783,168.000
2.65552,163.500
2.67372,159.000
2.69245,154.500
2.70959,150.500
2.72718,146.500
2.74527,142.500
2.76388,138.500
2.78304,134.500
2.80279,130.500
2.82315,126.500
2.84417,122.500
2.86590,118.500
2.88554,115.000
2.90576,111.500
2.92665,108.000
2.94822,104.500
2.97055,101.000
2.98702,98.5000
3.00386,96.0000
