resistance,temperature
2.21473,329.984
2.22381,325.000
2.23502,319.000
2.24551,313.500
2.25624,308.000
2.26720,302.500
2.27841,297.000
2.28987,291.500
2.30160,286.000
2.31360,280.500
2.32588,275.000
2.33846,269.500
2.35016,264.500
2.36212,259.500
2.37435,254.500
2.38686,249.500
2.39966,244.500
2.41276,239.500
2.42618,234.500
2.43992,229.500
2.45399,224.500
2.46842,219.500
2.48322,214.500
2.49840,209.500
2.51398,204.500
2.52997,199.500
2.54475,195.000
2.55988,190.500
2.57540,186.000
2.59132,181.500
2.60766,177.000
2.62444,172.500
2.64169,168.000
2.65941,163.500
2.67765,159.000
2.69642,154.500
2.71360,150.500
2.73122,146.500
2.74936,142.500
2.76801,138.500
2.78721,134.500
2.80700,130.500
2.82741,126.500
2.84848,122.500
2.87025,118.500
2.88993,115.000
2.91020,111.500
2.93113,108.000
2.95275,104.500
2.97511,101.000
2.99161,98.5000
3.00849,96.0000
