resistance,temperature
2.22736,329.985
2.23653,325.000
2.24787,319.000
2.25848,313.500
2.26934,308.000
2.28043,302.500
2.29178,297.000
2.30339,291.500
2.31526,286.000
2.32741,280.500
2.33984,275.000
2.35258,269.500
2.36442,264.500
2.37653,259.500
2.38891,254.500
2.40157,249.500
2.41452,244.500
2.42778,239.500
2.44136,234.500
2.45526,229.500
2.46951,224.500
2.48411,219.500
2.49908,214.500
2.51444,209.500
2.53021,204.500
2.54640,199.500
2.56135,195.000
2.57667,190.500
2.59238,186.000
2.60850,181.500
2.62505,177.000
2.64204,172.500
2.65950,168.000
2.67745,163.500
2.69592,159.000
2.71493,154.500
2.73232,150.500
2.75018,146.500
2.76854,142.500
2.78743,138.500
2.80688,134.500
2.82693,130.500
2.84760,126.500
2.86895,122.500
2.89101,118.500
2.91096,115.000
2.93150,111.500
2.95272,108.000
2.97464,104.500
2.99731,101.000
3.01404,98.5000
3.03114,96.0000
