resistance,temperature
1.90491,330.000
2.05983,293.500
2.97717,77.3600
3.09330,50.0000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
