resistance,temperature
2.22375,330.138
2.23320,325.000
2.24450,319.000
2.25509,313.500
2.26591,308.000
2.27697,302.500
2.28828,297.000
2.29985,291.500
2.31169,286.000
2.32380,280.500
2.33620,275.000
2.34889,269.500
2.36071,264.500
2.37278,259.500
2.38512,254.500
2.39775,249.500
2.41067,244.500
2.42390,239.500
2.43744,234.500
2.45131,229.500
2.46551,224.500
2.48008,219.500
2.49501,214.500
2.51033,209.500
2.52606,204.500
2.54220,199.500
2.55711,195.000
2.57239,190.500
2.58805,186.000
2.60412,181.500
2.62062,177.000
2.63756,172.500
2.65497,168.000
2.67286,163.500
2.69127,159.000
2.71023,154.500
2.72757,150.500
2.74537,146.500
2.76368,142.500
2.78251,138.500
2.80190,134.500
2.82188,130.500
2.84248,126.500
2.86376,122.500
2.88574,118.500
2.90562,115.000
2.92610,111.500
2.94724,108.000
2.96908,104.500
2.99168,101.000
3.00836,98.5000
3.02542,96.0000
