resistance,temperature
2.19689,330.137
2.20618,325.000
2.21728,319.000
2.22767,313.500
2.23829,308.000
2.24914,302.500
2.26023,297.000
2.27157,291.500
2.28318,286.000
2.29505,280.500
2.30720,275.000
2.31964,269.500
2.33238,264.000
2.34424,259.000
2.35636,254.000
2.36876,249.000
2.38144,244.000
2.39443,239.000
2.40772,234.000
2.42134,229.000
2.43528,224.000
2.44958,219.000
2.46424,214.000
2.47928,209.000
2.49471,204.000
2.51055,199.000
2.52518,194.500
2.54017,190.000
2.55554,185.500
2.57131,181.000
2.58749,176.500
2.60410,172.000
2.62117,167.500
2.63872,163.000
2.65678,158.500
2.67536,154.000
2.69237,150.000
2.70982,146.000
2.72777,142.000
2.74624,138.000
2.76525,134.000
2.78485,130.000
2.80506,126.000
2.82592,122.000
2.84747,118.000
2.86696,114.500
2.88703,111.000
2.90775,107.500
2.92916,104.000
2.95129,100.500
2.96762,98.0000
2.98432,95.5000
