resistance,temperature
2.20723,330.136
2.21657,325.000
2.22774,319.000
2.23821,313.500
2.24890,308.000
2.25983,302.500
2.27100,297.000
2.28243,291.500
2.29413,286.000
2.30610,280.500
2.31835,275.000
2.33089,269.500
2.34257,264.500
2.35450,259.500
2.36670,254.500
2.37918,249.500
2.39195,244.500
2.40503,239.500
2.41841,234.500
2.43213,229.500
2.44618,224.500
2.46058,219.500
2.47535,214.500
2.49050,209.500
2.50605,204.500
2.52201,199.500
2.53676,195.000
2.55186,190.500
2.56736,186.000
2.58324,181.500
2.59955,177.000
2.61630,172.500
2.63351,168.000
2.65120,163.500
2.66939,159.000
2.68813,154.500
2.70527,150.500
2.72286,146.500
2.74095,142.500
2.75957,138.500
2.77874,134.500
2.79849,130.500
2.81886,126.500
2.83989,122.500
2.86163,118.500
2.88127,115.000
2.90151,111.500
2.92240,108.000
2.94397,104.500
2.96629,101.000
2.98275,98.5000
2.99958,96.0000
