resistance,temperature
2.19079,329.982
2.19968,325.000
2.21065,319.000
2.22093,313.500
2.23144,308.000
2.24217,302.500
2.25316,297.000
2.26439,291.500
2.27588,286.000
2.28763,280.500
2.29967,275.000
2.31200,269.500
2.32347,264.500
2.33519,259.500
2.34717,254.500
2.35943,249.500
2.37198,244.500
2.38482,239.500
2.39797,234.500
2.41144,229.500
2.42524,224.500
2.43938,219.500
2.45388,214.500
2.46875,209.500
2.48402,204.500
2.49969,199.500
2.51417,195.000
2.52900,190.500
2.54421,186.000
2.55980,181.500
2.57581,177.000
2.59225,172.500
2.60914,168.000
2.62650,163.500
2.64436,159.000
2.66274,154.500
2.67956,150.500
2.69682,146.500
2.71457,142.500
2.73283,138.500
2.75163,134.500
2.77099,130.500
2.79096,126.500
2.81158,122.500
2.83287,118.500
2.85212,115.000
2.87195,111.500
2.89241,108.000
2.91354,104.500
2.93540,101.000
2.95153,98.5000
2.96801,96.0000
