resistance,temperature
2.20207,329.984
2.21108,325.000
2.22221,319.000
2.23263,313.500
2.24328,308.000
2.25416,302.500
2.26529,297.000
2.27667,291.500
2.28831,286.000
2.30022,280.500
2.31241,275.000
2.32490,269.500
2.33651,264.500
2.34838,259.500
2.36051,254.500
2.37293,249.500
2.38563,244.500
2.39863,239.500
2.41193,234.500
2.42556,229.500
2.43953,224.500
2.45384,219.500
2.46851,214.500
2.48356,209.500
2.49901,204.500
2.51487,199.500
2.52952,195.000
2.54452,190.500
2.55990,186.000
2.57568,181.500
2.59188,177.000
2.60851,172.500
2.62559,168.000
2.64316,163.500
2.66122,159.000
2.67982,154.500
2.69898,150.000
2.71651,146.000
2.73452,142.000
2.75306,138.000
2.77214,134.000
2.79181,130.000
2.81209,126.000
2.83302,122.000
2.85466,118.000
2.87422,114.500
2.89436,111.000
2.91516,107.500
2.93665,104.000
2.95889,100.500
2.97529,98.0000
2.99207,95.5000
